gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,RevenuePerMonth,ChargeRatio,HighValueCustomer
0,0,1,0,1,0,1,29.85,29.85,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14.925,1.8744113029827316,0
1,0,0,0,34,1,0,56.95,1889.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,53.98571428571429,1.035723564562224,0
1,0,0,0,2,1,1,53.85,108.15,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,36.050000000000004,1.4534412955465585,0
1,0,0,0,45,0,0,42.3,1840.75,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,40.016304347826086,1.0312972041870943,0
0,0,0,0,2,1,1,70.7,151.65,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.550000000000004,1.3714839961202716,1
0,0,0,0,8,1,1,99.65,820.5,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,91.16666666666667,1.0811934900542495,1
1,0,0,1,22,1,1,89.1,1949.4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,84.75652173913043,1.0389880348813627,1
0,0,0,0,10,0,0,29.75,301.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.44545454545454,1.04586129753915,0
0,0,1,0,28,1,1,104.8,3046.05,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,105.03620689655173,0.9883416529812522,1
1,0,0,1,62,1,0,56.15,3487.95,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,55.364285714285714,0.9961982004815613,0
1,0,1,1,13,1,1,49.95,587.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.96071428571429,1.1626901654335355,0
1,0,0,0,16,1,0,18.95,326.8,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,19.223529411764705,0.9370273414776032,0
1,0,1,0,58,1,0,100.35,5681.1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,96.28983050847458,1.0314541558509434,1
1,0,0,0,49,1,1,103.7,5036.3,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,100.726,1.0194050685173899,1
1,0,0,0,25,1,1,105.5,2686.05,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,103.3096153846154,1.0114120314890949,1
0,0,1,1,69,1,0,113.25,7895.15,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,112.78785714285713,0.9952731586975764,1
0,0,0,0,52,1,0,20.65,1022.95,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,19.300943396226415,1.0171941075328779,0
1,0,0,1,71,1,0,106.7,7382.25,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,102.53125,1.0306067008753397,1
0,0,1,1,10,1,0,55.2,528.35,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,48.03181818181818,1.1257995735607678,0
0,0,0,0,21,1,1,90.05,1862.9,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,84.67727272727274,1.0510371903018727,1
1,1,0,0,1,0,1,39.65,39.65,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,19.825,1.9039615846338536,0
1,0,1,0,12,1,0,19.8,202.25,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,15.557692307692308,1.1958188153310105,0
1,0,0,0,1,1,0,20.15,20.15,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,10.075,1.81941309255079,0
0,0,1,0,58,1,1,59.9,3505.1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,59.40847457627118,0.9915827277573581,0
1,0,1,1,49,1,0,59.6,2970.3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,59.406000000000006,0.9866569546071582,0
