gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,RevenuePerMonth,ChargeRatio,HighValueCustomer,ContractRisk,CustomerLifetimeValue,ChargesPerTenure,ServiceUsageScore,TenureGroup_New Customer,TenureGroup_Regular Customer,TenureGroup_VIP Customer,RiskCategory_Medium Risk,RiskCategory_High Risk
0,0,1,0,1,0,1,29.85,29.85,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14.925,1.874411302982732,0,0,29.85,14.925,1,1,0,0,0,0
1,0,0,0,34,1,0,56.95,1889.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,53.98571428571429,1.035723564562224,0,1,1936.3,53.98571428571429,2,0,0,0,1,0
1,0,0,0,2,1,1,53.85,108.15,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,36.05,1.4534412955465583,0,0,107.7,36.050000000000004,2,1,0,0,1,0
1,0,0,0,45,0,0,42.3,1840.75,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,40.016304347826086,1.0312972041870945,0,1,1903.5,40.016304347826086,3,0,0,0,1,0
0,0,0,0,2,1,1,70.7,151.65,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.55,1.3714839961202716,1,0,141.4,50.550000000000004,0,1,0,0,0,1
0,0,0,0,8,1,1,99.65,820.5,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,91.16666666666669,1.0811934900542497,1,0,797.2,91.16666666666667,3,1,0,0,0,1
1,0,0,1,22,1,1,89.1,1949.4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,84.75652173913043,1.0389880348813627,1,0,1960.2,84.75652173913043,2,0,1,0,0,1
0,0,0,0,10,0,0,29.75,301.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.44545454545454,1.04586129753915,0,0,297.5,27.44545454545454,1,1,0,0,0,0
0,0,1,0,28,1,1,104.8,3046.05,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,105.03620689655172,0.9883416529812522,1,0,2934.4,105.03620689655173,4,0,0,0,0,1
1,0,0,1,62,1,0,56.15,3487.95,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,55.364285714285714,0.9961982004815612,0,1,3481.3,55.364285714285714,2,0,0,1,1,0
